book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
Marked,P.C. Cast|Kristin Cast,Paperback,978315741367,306 ,3.79,394267
Ella Enchanted,Gail Carson Levine,Paperback,978315741368,232 ,3.97,363366
The Wind-Up Bird Chronicle,Haruki Murakami|Jay Rubin,Paperback,978315741369,607 ,4.17,179610
Man's Search for Meaning,Viktor E. Frankl|Harold S. Kushner|William J. Winslade|Isle Lasch,Paperback,978315741370,165 ,4.35,251924
The Sound and the Fury,William Faulkner,Paperback,978315741371,326 ,3.86,143074
The Shack,William Paul Young,Paperback,978315741372,252 ,3.75,469523
Fear and Loathing in Las Vegas,Hunter S. Thompson|Ralph Steadman,Paperback,978315741373,204 ,4.08,264581
Blindness,José Saramago|Giovanni Pontiero,Paperback,978315741374,326 ,4.1,153512
Midnight Sun,Stephenie Meyer,ebook,978315741375,264 ,4.02,141284
Roots: The Saga of an American Family,Alex Haley,Mass Market Paperback,978315741376,729 ,4.43,131531
A Clash of Kings,George R.R. Martin,Paperback,978315741377,784 ,4.41,671699
The Complete Calvin and Hobbes,Bill Watterson,Hardcover,978315741378,1456 ,4.82,31875
Stranger in a Strange Land,Robert A. Heinlein,Paperback,978315741379,528 ,3.91,246528
Island of the Blue Dolphins,Scott O'Dell,Paperback,978315741380,184 ,3.81,259832
Throne of Glass,Sarah J. Maas,Hardcover,978315741381,404 ,4.22,424436
For Whom the Bell Tolls,Ernest Hemingway,Paperback,978315741382,471 ,3.96,222235
زندگی مه آلود پریا,سید مرتضی مصطفوی,ebook,978315741383,204 ,3.97,956
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer|Annie Barrows,Hardcover,978315741384,277 ,4.14,484389
Catching Fire,Suzanne Collins,Hardcover,978315741385,391 ,4.29,2127608
The Green Mile,Stephen King,Paperback,978315741386,592 ,4.43,211307
The House of the Spirits,Isabel Allende|Magda Bogin,Paperback,978315741387,448 ,4.21,155012
Delirium,Lauren Oliver,Paperback,978315741388,441 ,3.99,382887
The Girl Who Kicked the Hornet's Nest,Stieg Larsson|Reg Keeland,Hardcover,978315741389,563 ,4.21,570801
I Know This Much Is True,Wally Lamb,Paperback,978315741390,897 ,4.18,272165
White Oleander,Janet Fitch,Paperback,978315741391,446 ,3.95,267630
The Vampire Lestat,Anne Rice,Paperback,978315741392,765 ,4.06,160002
Beautiful Disaster,Jamie McGuire,Kindle Edition,978315741393,319 ,4.13,482287
Paper Towns,John Green,Paperback,978315741394,305 ,3.85,733725
Othello,William Shakespeare,Paperback,978315741395,314 ,3.88,275049
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Paperback,978315741396,444 ,4.26,136117
The Once and Future King,T.H. White,Mass Market Paperback,978315741397,639 ,4.08,87303
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,Paperback,978315741398,301 ,4.44,2007
Misery,Stephen King,Paperback,978315741399,370 ,4.13,401438
Into the Wild,Jon Krakauer,Paperback,978315741400,207 ,3.96,748397
King Lear,William Shakespeare,Paperback,978315741401,316 ,3.9,159074
The Idiot,Fyodor Dostoyevsky|Constance Garnett|Alan Myers|Joseph Frank|Anna Brailovsky,Paperback,978315741402,667 ,4.19,103502
